source,request_rate,input_len,output_len,completed,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,mean_e2e_latency_ms,request_throughput,output_throughput
HiSim_RTX6000,12,256,128,200,17.059082219885173,17.186820628822375,23.11354649701374,13.906837049204041,13.90346717657603,13.904494167810624,929.4024670407794,11.33194312779879,754.8773914583163
HiSim_RTX6000,12,256,512,200,17.25124174024454,17.012962060374754,25.120225042835123,16.008749304823812,16.237724768445137,16.009964883713515,4192.890232885984,9.148282783026167,2395.1576568379955
HiSim_RTX6000,1,1024,128,200,29.03778511104847,27.52774611379394,52.37595577333721,11.696406622588459,11.570234243329429,11.695349083528615,796.4281152267786,1.01549276368063,67.64705045258516
HiSim_RTX6000,1,1024,512,200,16.472470308980785,15.891266199568488,22.83904495539616,11.959485160233438,11.915030667236152,11.963278817953245,3136.675035213457,1.0082285632224899,263.9693612800962
HiSim_RTX6000,1,2048,128,200,36.63954453898351,51.890318919063816,90.49308637329818,11.860428017306917,11.66731788969984,11.871909638006484,815.6148954367789,1.0152740248597962,67.63247916603532
HiSim_RTX6000,1,2048,512,200,17.23518459340605,17.727785193804912,22.91673118633621,12.116170601762661,12.054164259778611,12.122933071985429,3179.077973763285,1.0080612136617535,263.925546654852
HiSim_RTX6000,1,256,128,200,19.039831038032073,18.12050546698274,29.5638627527736,11.468354985810834,11.431772573876255,11.481007308749454,772.3661256016276,1.015581258411779,67.65294552910066
HiSim_RTX6000,1,256,512,200,16.079783744739395,15.660035513292314,22.68281913835025,11.851437364621935,11.80267533291587,11.855877409331882,3108.2704502596343,1.0083220511921083,263.9938378328618
HiSim_RTX6000,2,1024,128,200,15.351492810393506,15.05723330366493,22.51065417844984,11.799968319908793,11.708590705255373,11.795710257318888,789.3270213443724,2.0209192319973215,134.62353463950157
HiSim_RTX6000,2,1024,512,200,17.462929539570194,17.83037083448047,23.64382601106115,12.49576887989548,12.49538944596552,12.50233230851225,3278.2587305841935,1.997032220297944,522.8529907573062
HiSim_RTX6000,2,2048,128,200,15.499063562883935,15.345184354899288,22.55192084185495,11.922696554146427,11.83063598055246,11.913600898676307,797.2099865295299,2.020506339586963,134.59602981158554
HiSim_RTX6000,2,2048,512,200,17.202607713049378,16.705466059477203,23.964296326769883,12.809576401659887,12.790816500657717,12.811444084548084,3358.619396624457,1.9962811400004918,522.6563466692288
HiSim_RTX6000,2,256,128,200,15.334140510746032,15.121024154336027,22.143357098545664,11.691363117840567,11.631350381865522,11.686482320756577,782.1426779871888,2.0210322359019526,134.63106239460856
HiSim_RTX6000,2,256,512,200,17.16901458015966,17.505689640529454,23.039111850456386,12.334769492998436,12.325830174837074,12.340471813678743,3235.7491706647816,1.9972900820064972,522.920502820531
HiSim_RTX6000,4,1024,128,200,16.340653463862893,16.39734596090392,22.542062734514232,12.326227707721129,12.28327355778714,12.319700349458998,824.697791893615,3.9857654546933374,265.51176576439667
HiSim_RTX6000,4,1024,512,200,17.35077472597546,17.357888253705767,24.100647336023577,13.330239897058327,13.347227884838189,13.362261666048832,3502.4290511565014,3.8159406664474234,999.0705055859321
HiSim_RTX6000,4,2048,128,200,17.238490000892803,17.520085640452265,23.179194953998948,12.522502545670903,12.457686930658324,12.490186911677538,836.7821042106144,3.9842036226212327,265.4077243209134
HiSim_RTX6000,4,2048,512,200,17.666981955576848,17.315309940416412,24.251941038436794,14.075279429945123,14.147727793105501,14.113260452939883,3698.617006989092,3.806518318790993,996.6035936342638
HiSim_RTX6000,4,256,128,200,16.376969849709248,16.408155416081982,22.52054269544121,12.233789171931,12.138766087227783,12.197809972101332,816.7362711691381,3.98687743930664,265.58584061941184
HiSim_RTX6000,4,256,512,200,17.1690763575052,17.3408897782501,23.261089909727986,12.932203116876137,12.959176875683161,12.955314054641834,3396.1093115189146,3.8213938468561235,1000.498230014636
HiSim_RTX6000,8,1024,128,200,17.361173971339586,16.541470360294852,23.258718761116594,13.341355025037874,13.310932843248667,13.319804834815429,891.3401682077539,7.756852529504389,516.7227312529349
HiSim_RTX6000,8,1024,512,200,18.561016116385748,18.56914200527271,26.95355470048007,15.707313924311746,15.771055017519794,15.784126594422757,4135.297993840757,6.795686239855693,1779.2125928878183
HiSim_RTX6000,8,2048,128,200,17.504645714215265,17.656657206584992,23.50737553066867,13.642827157126687,13.566445822650266,13.649327738717828,913.1052852901854,7.752018633594103,516.4007212768712
HiSim_RTX6000,8,2048,512,200,18.889821373767994,18.551186247067974,28.84007209307319,18.275428854420632,18.565658170358276,18.357727477137665,4806.860513323428,6.608768162004005,1730.2746363350786
HiSim_RTX6000,8,256,128,200,17.36194862627078,17.63335579648917,23.006499055743415,13.106427730706375,13.130384278025431,13.138357377882185,879.4352679760103,7.760527921690734,516.9675675034283
HiSim_RTX6000,8,256,512,200,17.48513210147225,17.286524677257553,24.896729411808494,14.526692432696358,14.545093648161831,14.576415611990164,3819.2329699426873,6.887029982267884,1803.127754807466
